0,91.86301278,1.405949967,3.713499707,0
1,92.46969815,1.845470359,3.142833247,0
2,90.88999598,2.455174269,3.765469351,0
4,90.27167264,3.797725821,3.63190727,0
8,86.74239789,7.836737293,4.323513541,0
20,76.31500202,18.72593937,4.842425032,0.125756815
28,68.57843331,27.61581493,5.927820798,0.210602928
48,52.68019752,38.59006653,7.781057269,0.779868926
72,43.65989632,44.99563983,8.788119335,1.296347513
96,33.6310767,53.10972016,9.867406016,1.571077711
120,32.30537512,53.79568258,10.55615221,1.933731011
144,28.92967095,54.00731405,12.2369224,2.180569199
168,23.14333487,55.83125659,13.79261034,2.698367828
